membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-14-3476-01B-01R-1230-01	2	4	1	6	7	7
TCGA-14-3477-01A-01R-0916-01	2	2	2	2	6	6
TCGA-14-4157-01A-01R-1230-01	2	2	2	2	2	2
TCGA-15-0742-01A-01R-0338-01	3	3	5	4	5	4
TCGA-15-1446-01A-01R-0522-01	3	3	4	4	4	5
TCGA-15-1447-01A-01R-0522-01	2	4	2	2	2	7
TCGA-15-1449-01A-01R-0522-01	2	4	2	2	2	7
TCGA-16-0846-01A-01R-0389-01	2	4	4	2	2	2
TCGA-16-0848-01A-01R-0389-01	2	4	2	2	2	2
TCGA-16-0849-01A-01R-0389-01	2	4	4	2	2	2
TCGA-16-0850-01A-01R-0389-01	2	2	2	2	2	2
TCGA-16-0861-01A-01R-0389-01	2	4	2	2	2	3
TCGA-16-1045-01B-01R-0522-01	1	1	3	5	3	8
TCGA-16-1047-01B-01R-0522-01	3	3	5	4	5	5
TCGA-16-1048-01B-01R-1230-01	3	4	2	3	3	2
TCGA-16-1055-01B-01R-0522-01	1	1	5	3	5	4
TCGA-16-1056-01B-01R-0522-01	3	3	5	4	5	4
TCGA-16-1060-01A-01R-0522-01	1	1	3	3	3	3
TCGA-16-1062-01A-01R-0522-01	3	3	5	3	5	4
TCGA-16-1063-01B-01R-0522-01	3	3	5	4	5	4
TCGA-16-1460-01A-01R-0596-01	2	4	2	2	2	2
TCGA-19-0955-01A-02R-0522-01	3	3	4	4	4	4
TCGA-19-0957-01C-01R-0596-01	2	4	2	2	2	2
TCGA-19-0960-01A-02R-0522-01	2	4	2	2	2	2
TCGA-19-0962-01B-01R-0522-01	3	3	4	4	5	3
TCGA-19-0963-01B-01R-0522-01	2	4	4	2	2	7
TCGA-19-0964-01A-01R-0522-01	3	3	5	4	5	5
TCGA-19-1385-01A-02R-0596-01	1	1	3	3	3	1
TCGA-19-1386-01A-01R-0596-01	3	3	5	4	5	4
TCGA-19-1387-01A-01R-0596-01	2	4	2	2	2	2
TCGA-19-1388-01A-01R-0596-01	2	4	4	2	2	8
TCGA-19-1389-01A-01R-0596-01	1	1	3	3	3	1
TCGA-19-1390-01A-01R-0916-01	2	2	2	2	2	2
TCGA-19-1392-01A-01R-0522-01	2	2	2	2	6	2
TCGA-19-1786-01A-01R-0596-01	3	3	5	4	5	4
TCGA-19-1787-01B-01R-0916-01	1	1	1	1	1	1
TCGA-19-1788-01A-01R-0596-01	2	4	4	2	2	7
TCGA-19-1789-01A-01R-0596-01	3	3	5	4	4	5
TCGA-19-1790-01B-01R-1230-01	1	1	3	3	3	3
TCGA-19-1791-01A-01R-0596-01	3	3	4	4	4	5
TCGA-19-2619-01A-01R-0916-01	3	3	5	4	5	4
TCGA-19-2620-01A-01R-0916-01	3	3	4	4	4	7
TCGA-19-2621-01B-01R-0916-01	3	3	5	4	4	5
TCGA-19-2623-01A-01R-0916-01	1	1	3	5	3	5
TCGA-19-2624-01A-01R-0916-01	2	2	2	2	2	2
TCGA-19-2625-01A-01R-0916-01	3	3	5	3	3	5
TCGA-19-2629-01A-01R-0916-01	2	4	2	2	2	2
TCGA-19-2631-01A-01R-1230-01	3	3	5	4	5	4
TCGA-19-4068-01A-01R-1230-01	3	3	5	4	5	5
TCGA-26-1438-01A-01R-0522-01	1	1	3	5	3	3
TCGA-26-1439-01A-01R-1230-01	3	3	5	4	5	4
TCGA-26-1440-01A-01R-0522-01	3	3	5	4	4	5
TCGA-26-1443-01A-01R-0522-01	3	3	5	3	5	4
TCGA-26-1799-01A-02R-0596-01	2	4	2	2	2	4
TCGA-26-5132-01A-01R-1482-01	3	3	5	4	4	5
TCGA-26-5133-01A-01R-1482-01	2	2	2	2	2	2
TCGA-26-5134-01A-01R-1482-01	2	4	2	2	2	2
TCGA-26-5135-01A-01R-1482-01	2	4	2	2	2	2
TCGA-26-5136-01B-01R-1482-01	1	2	1	1	1	1
TCGA-26-5139-01A-01R-1482-01	1	1	1	1	1	1
TCGA-27-1830-01A-01R-0596-01	1	1	3	3	3	2
TCGA-27-1831-01A-01R-0789-01	1	3	1	6	4	5
TCGA-27-1832-01A-01R-0596-01	1	1	3	1	3	3
TCGA-27-1833-01A-01R-0596-01	3	3	5	4	5	4
TCGA-27-1834-01A-01R-0596-01	2	4	4	2	4	5
TCGA-27-1835-01A-01R-0789-01	3	3	5	4	5	4
TCGA-27-1836-01A-01R-0789-01	2	4	2	2	2	2
TCGA-27-1837-01A-01R-0789-01	2	3	5	2	5	4
TCGA-27-1838-01A-01R-0789-01	3	3	5	4	4	5
TCGA-27-2518-01A-01R-0789-01	2	4	4	4	4	7
TCGA-27-2519-01A-01R-0789-01	1	4	4	5	3	5
TCGA-27-2521-01A-01R-0789-01	2	4	2	2	2	2
TCGA-27-2523-01A-01R-0789-01	3	2	5	2	5	4
TCGA-27-2524-01A-01R-0789-01	1	1	1	1	1	3
TCGA-27-2526-01A-01R-0789-01	3	3	5	4	4	5
TCGA-27-2527-01A-01R-0789-01	1	1	3	5	3	8
