ncbi-gi:108250568	hsa:135154
ncbi-gi:108250570	hsa:352954
ncbi-gi:108250596	hsa:828
ncbi-gi:108250598	hsa:828
ncbi-gi:108250618	hsa:129880
ncbi-gi:108250620	hsa:84549
ncbi-gi:108250638	hsa:345557
ncbi-gi:108250670	hsa:119032
ncbi-gi:108250672	hsa:284366
ncbi-gi:108250696	hsa:57684
ncbi-gi:108250722	hsa:127534
ncbi-gi:108250724	hsa:83896
ncbi-gi:108250734	hsa:54901
ncbi-gi:108250756	hsa:177
ncbi-gi:108250764	hsa:50831
ncbi-gi:108250774	hsa:51280
ncbi-gi:10834819	hsa:6341
ncbi-gi:10834833	hsa:9
ncbi-gi:10834966	hsa:2720
ncbi-gi:10834972	hsa:963
ncbi-gi:10834978	hsa:3576
ncbi-gi:10834980	hsa:3578
ncbi-gi:10834982	hsa:3488
ncbi-gi:10834984	hsa:3569
ncbi-gi:10834988	hsa:6387
ncbi-gi:10834992	hsa:3598
ncbi-gi:10834994	hsa:3589
ncbi-gi:10834998	hsa:1571
ncbi-gi:10835000	hsa:5406
ncbi-gi:10835010	hsa:1500
ncbi-gi:10835015	hsa:2550
ncbi-gi:10835023	hsa:3708
ncbi-gi:10835025	hsa:4729
ncbi-gi:10835029	hsa:5890
