qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
228	RMIT University		43.10	52.7	59.4	19.3	100	100	7	19.5	24.1	9.1	13.1	15.2
229	Mahidol University		43.10	53.2	5.8	84.5	16.4	7.8	11.4	15.9	11.2	24.7	14.9	15
230	University of Miami		43.00	23.9	3.4	80.2	56.9	40	56.9	7.7	5.6	11.1	10.2	8.6
231	Vienna University of Technology		42.80	46.6	32.3	44.8	76.7	88.5	14.2	9.4	25.6	7.8	22.3	8
232	Aalto University		42.60	36.4	19.7	89.7	40.9	42.2	15.7	8.6	18.6	5.1	14.6	13.3
233	Universität Ulm		42.50	14.3	9.1	98.9	31.3	48	56.4	2.2	6.8	6.5	11.4	1.8
234	Dalhousie University		42.40	35.8	12.2	39.5	57.6	51.2	63.5	12.2	8.1	12.6	13.8	12.5
235	Universidade Estadual de Campinas		42.20	58.5	23	35.5	28.2	7.6	33.8	21.1	17.6	11.8	21.5	16.7
236	Rutgers, The State University of New Jersey, New Brunswick		42.10	50.9	8.6	35.9	41.6	19	49.3	26.2	12.1	8.7	18	13.7
237	Victoria University of Wellington		42.10	50.5	55.9	17.5	100	77.7	15.5	24.6	8.7	9.9	12.7	22.2
