Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000030510	58.10105	62.57579	54.84921	70.1471	32.030525	68.081314	
ENSMUSG00000024769	1094.4481	1137.924	1115.5482	1885.9847	2019.811	1096.4319	
ENSMUSG00000074343	66.25131	114.58632	71.64461	24.990131	40.402237	45.62158	
ENSMUSG00000031144	36.52513	21.134737	40.651054	45.381054	32.00276	33.856316	
ENSMUSG00000058488	95.02368	88.05816	52.18158	78.39079	49.814342	128.54448	
ENSMUSG00000059031	56.704212	52.19066	33.43474	54.888027	51.023026	19.246315	
ENSMUSG00000073412	987.8279	910.1455	689.16656	599.87897	409.2163	546.75	
ENSMUSG00000046380	28.789474	40.125263	30.016579	127.247894	91.40632	36.948685	
ENSMUSG00000078586	84.55921	107.97316	61.480526	97.42895	41.111053	31.886316	
ENSMUSG00000076588	50.767895	102.57737	64.70066	125.65342	32.79237	57.439472	
ENSMUSG00000052131	764.8963	949.5329	1154.8195	255.44815	887.06213	263.78052	
ENSMUSG00000057778	545.5632	688.62054	866.97894	654.3637	359.89685	598.0779	
ENSMUSG00000063200	143.86737	137.10106	162.09341	113.335266	234.86026	77.12053	
ENSMUSG00000071256	61.026054	73.99842	72.57882	82.41553	66.511314	94.66171	
ENSMUSG00000074245	27.209475	50.767895	61.864212	25.801842	42.72605	25.412237	
ENSMUSG00000029186	803.5476	487.2787	650.37	290.74265	152.32974	290.02026	
ENSMUSG00000028976	125.384735	79.547104	78.19342	74.99816	166.25856	50.80158	
ENSMUSG00000006127	41.64237	80.72737	47.885	68.08658	22.265	159.69052	
ENSMUSG00000021466	34.85921	61.84921	50.684475	93.4521	200.00868	53.835	
ENSMUSG00000020973	149.61632	270.71054	222.09053	330.90448	267.68658	268.6258	
ENSMUSG00000051669	80.432365	67.56974	36.27763	81.60013	42.299473	113.58237	
ENSMUSG00000032401	52.622368	51.876316	69.01211	66.55947	92.06224	35.563946	
ENSMUSG00000034282	43.40158	73.70921	54.929077	46.47316	27.677368	26.247368	
ENSMUSG00000079346	57.182896	38.35921	36.148685	41.271053	141.54921	55.966053	
ENSMUSG00000004931	432.8208	197.39342	314.79843	324.26263	475.10605	274.90817	
ENSMUSG00000023809	63.048817	42.195923	33.9675	48.928814	49.30974	65.44158	
ENSMUSG00000044052	62.457104	58.271446	49.696316	95.813156	33.471054	35.60816	
ENSMUSG00000079991	36.03566	34.396843	19.890789	57.175922	29.449738	25.022106	
ENSMUSG00000025737	46.529736	50.478027	41.451317	190.18277	22.74	120.94974	
ENSMUSG00000041921	204.78868	165.03474	140.25842	176.9729	76.51921	259.88342	
ENSMUSG00000042429	54.36013	31.751184	43.893684	57.113815	24.950264	60.991055	
ENSMUSG00000028738	71.40158	98.11868	59.387367	56.118156	27.005262	38.34658	
